Bee_ID,index,index_dash,host,diet,plate,Species,Sex,Colony,Wing,Date_removed_from_fridge,Emerge_start_date,Treatment,No_pollen_spp,Pollen_comp,Dead,Death_date,Notes,Age,diet_initials
128,lab.p3.sample.128,lab-p3-sample-128,M. rotundata,Dandelion + Sumac,3,M. rotundata,FALSE,NA,0.145,NA,9/15/21,2-D,2,Dandelion + Sumac,NA,NA,taken straight from block net,NA,D + S
129,lab.p3.sample.129,lab-p3-sample-129,M. rotundata,Dandelion + Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.145,NA,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,taken straight from block net,NA,D + S + H
130,lab.p3.sample.130,lab-p3-sample-130,M. rotundata,Sumac,3,M. rotundata,FALSE,NA,0.149,NA,9/15/21,1-B,1,Sumac,NA,NA,taken straight from block net,NA,S
131,lab.p3.sample.131,lab-p3-sample-131,M. rotundata,Dandelion + Hawthorn,3,M. rotundata,FALSE,NA,0.141,NA,9/15/21,2-E,2,Dandelion + Hawthorn,NA,NA,taken straight from block net,NA,D + H
132,lab.p3.sample.132,lab-p3-sample-132,M. rotundata,Dandelion + Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.158,NA,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,taken straight from block net,NA,D + S + H
133,lab.p3.sample.133,lab-p3-sample-133,M. rotundata,Hawthorn,3,M. rotundata,FALSE,NA,0.142,NA,9/15/21,1-C,1,Hawthorn,NA,NA,taken straight from block net,NA,H
134,lab.p2.sample.134,lab-p2-sample-134,M. rotundata,Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.146,NA,9/15/21,2-F,2,Sumac + Hawthorn,NA,NA,taken straight from block net,NA,S + H
135,lab.p2.sample.135,lab-p2-sample-135,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.152,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
136,lab.p2.sample.136,lab-p2-sample-136,M. rotundata,Dandelion,2,M. rotundata,FALSE,NA,0.148,NA,9/16/21,1-A,1,Dandelion,NA,NA,NA,NA,D
137,lab.p2.sample.137,lab-p2-sample-137,M. rotundata,Dandelion + Sumac,2,M. rotundata,FALSE,NA,0.157,NA,9/16/21,2-D,2,Dandelion + Sumac,NA,NA,NA,NA,D + S
138,lab.p2.sample.138,lab-p2-sample-138,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.14,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
139,lab.p2.sample.139,lab-p2-sample-139,M. rotundata,Sumac,2,M. rotundata,FALSE,NA,0.144,NA,9/16/21,1-B,1,Sumac,NA,NA,NA,NA,S
140,lab.p2.sample.140,lab-p2-sample-140,M. rotundata,Dandelion + Hawthorn,2,M. rotundata,FALSE,NA,0.135,NA,9/16/21,2-E,2,Dandelion + Hawthorn,NA,NA,NA,NA,D + H
141,lab.p2.sample.141,lab-p2-sample-141,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.139,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
142,lab.p3.sample.142,lab-p3-sample-142,M. rotundata,Hawthorn,3,M. rotundata,FALSE,NA,0.145,NA,9/16/21,1-C,1,Hawthorn,NA,NA,NA,NA,H
143,lab.p3.sample.143,lab-p3-sample-143,M. rotundata,Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.131,NA,9/16/21,2-F,2,Sumac + Hawthorn,NA,NA,NA,NA,S + H
144,lab.p3.sample.144,lab-p3-sample-144,M. rotundata,Dandelion + Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.137,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
145,lab.p3.sample.145,lab-p3-sample-145,M. rotundata,Dandelion,3,M. rotundata,FALSE,NA,0.14,NA,9/16/21,1-A,1,Dandelion,NA,NA,NA,NA,D
146,lab.p3.sample.146,lab-p3-sample-146,M. rotundata,Dandelion + Sumac,3,M. rotundata,FALSE,NA,0.15,NA,9/16/21,2-D,2,Dandelion + Sumac,NA,NA,NA,NA,D + S
147,lab.p3.sample.147,lab-p3-sample-147,M. rotundata,Dandelion + Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.142,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
148,lab.p3.sample.148,lab-p3-sample-148,M. rotundata,Sumac,3,M. rotundata,FALSE,NA,0.142,NA,9/16/21,1-B,1,Sumac,NA,NA,NA,NA,S
150,lab.p3.sample.150,lab-p3-sample-150,M. rotundata,Dandelion + Sumac + Hawthorn,3,M. rotundata,FALSE,NA,0.141,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
151,lab.p2.sample.151,lab-p2-sample-151,M. rotundata,Hawthorn,2,M. rotundata,FALSE,NA,0.144,NA,9/16/21,1-C,1,Hawthorn,NA,NA,NA,NA,H
152,lab.p2.sample.152,lab-p2-sample-152,M. rotundata,Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.129,NA,9/16/21,2-F,2,Sumac + Hawthorn,NA,NA,NA,NA,S + H
153,lab.p2.sample.153,lab-p2-sample-153,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.14,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
154,lab.p2.sample.154,lab-p2-sample-154,M. rotundata,Dandelion,2,M. rotundata,FALSE,NA,0.149,NA,9/16/21,1-A,1,Dandelion,NA,NA,NA,NA,D
155,lab.p2.sample.155,lab-p2-sample-155,M. rotundata,Dandelion + Sumac,2,M. rotundata,FALSE,NA,0.129,NA,9/16/21,2-D,2,Dandelion + Sumac,NA,NA,NA,NA,D + S
156,lab.p2.sample.156,lab-p2-sample-156,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.143,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
157,lab.p2.sample.157,lab-p2-sample-157,M. rotundata,Sumac,2,M. rotundata,FALSE,NA,0.147,NA,9/16/21,1-B,1,Sumac,NA,NA,NA,NA,S
159,lab.p2.sample.159,lab-p2-sample-159,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.144,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
160,lab.p2.sample.160,lab-p2-sample-160,M. rotundata,Hawthorn,2,M. rotundata,FALSE,NA,0.135,NA,9/16/21,1-C,1,Hawthorn,NA,NA,NA,NA,H
161,lab.p2.sample.161,lab-p2-sample-161,M. rotundata,Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.138,NA,9/16/21,2-F,2,Sumac + Hawthorn,NA,NA,NA,NA,S + H
162,lab.p2.sample.162,lab-p2-sample-162,M. rotundata,Dandelion + Sumac + Hawthorn,2,M. rotundata,FALSE,NA,0.14,NA,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,NA,NA,NA,NA,D + S + H
163,lab.p2.sample.163,lab-p2-sample-163,M. rotundata,Dandelion,2,M. rotundata,FALSE,NA,0.135,NA,9/16/21,1-A,1,Dandelion,NA,NA,NA,NA,D
164,lab.p2.sample.164,lab-p2-sample-164,M. rotundata,Dandelion + Sumac,2,M. rotundata,FALSE,NA,0.152,NA,9/16/21,2-D,2,Dandelion + Sumac,NA,NA,NA,NA,D + S
